"check_kind","check_name","observed","expected","passed"
"accounting_identity","2018/2022.6 coalition A+B closure","462294809//32754730","462294809//32754730",true
"accounting_identity","2018/2022.6 member votes","32158281","32158281",true
"accounting_identity","2018/2022.6 calendar days","233","233",true
"accounting_identity","2018/2022.7 member A equals district A_C","2452286231799693310810954967695894059735099359298558021171123351723308434315781463122463539585899405455104798025709748487602657816137992866022608780333//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240","2452286231799693310810954967695894059735099359298558021171123351723308434315781463122463539585899405455104798025709748487602657816137992866022608780333//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240",true
"accounting_identity","2018/2022.7 member B equals district B_C","-9385476749617560193996745602892895388620120448002743616959883388011573160573095673582264090623579508666025741286229592521784047758559967664350896381012753277//1357543029123412076295290714388314383674321858737492242299554638488032732483549411308569331078936128435113525042148539209465999226971240375690447589379893520","-9385476749617560193996745602892895388620120448002743616959883388011573160573095673582264090623579508666025741286229592521784047758559967664350896381012753277//1357543029123412076295290714388314383674321858737492242299554638488032732483549411308569331078936128435113525042148539209465999226971240375690447589379893520",true
"accounting_identity","2018/2022.7 coalition A+B closure","-16323516//16377365","-16323516//16377365",true
"accounting_identity","2018/2022.7 member votes","29497782","29497782",true
"accounting_identity","2018/2022.7 calendar days","2","2",true
"accounting_identity","2022/2023.1 member A equals district A_C","10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650","10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650",true
"accounting_identity","2022/2023.1 member B equals district B_C","-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100","-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100",true
